video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=PbesdHKJK6g&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LAprosportsfan,L.A. Pro Sports Fan,The HOT 10-Minute Los Angeles Sports Report!,95,1 year,"In this video, you get a 10-minute update on Los Angeles sports news -- Lakers, Dodgers, Clippers, Kings, Chargers, Angels, ...",2026-01-22 07:21:52.896980
/watch?v=IILUW8GK8Cs&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LASportsReel,Los Angeles Sports & Entertainment Commission,Allied Restoration Services - ChampionLA | Los Angeles Sports & Entertainment Commission,127,4 years,Allied Restoration Services hustled to reinvent their business after COVID-19 hit. Next year's Super Bowl at SoFi Stadium will be a ...,2026-01-22 07:21:52.898073
/watch?v=o9gqiAk3M4E&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LASportsReel,Los Angeles Sports & Entertainment Commission,PGA TOUR Players on U.S. Amateur | Los Angeles Sports & Entertainment Commission,123,8 years,"Dustin Johnson, Kelly Kraft, Bryson DeChambeau, Cameron Tringale, Danny Lee and Ricky Barnes talk about their personal ...",2026-01-22 07:21:52.899156
/watch?v=-Y5GH5PQnaE&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LASportsReel,Los Angeles Sports & Entertainment Commission,Super Bowl LVI Business Connect Workshop | Los Angeles Sports & Entertainment Commission,1.2K,5 years,"The Los Angeles Super Bowl Host Committee and National Football League are hosting this virtual workshop, featuring an ...",2026-01-22 07:21:52.900735
/watch?v=SvGLIM6h8r0&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LASportsReel,Los Angeles Sports & Entertainment Commission,2014 Tournament of Roses National Championship Party | Los Angeles Sports & Entertainment Commission,271,11 years,"Major Events: 2021 MLS All-Star Game, 2022 Super Bowl LVI, 2022 MLB All-Star Game, 2023 College Football Playoff National ...",2026-01-22 07:21:52.901829
/watch?v=TIrvrZS3lZQ&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LASportsReel,Los Angeles Sports & Entertainment Commission,2013 Lakers All-Access | Los Angeles Sports & Entertainment Commission,13K,12 years,Go behind the scenes at the Los Angeles Sports & Entertainment Commission's 2013 Lakers All-Access event at STAPLES ...,2026-01-22 07:22:00.112169
/watch?v=_5wqBy5BpBM&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LAprosportsfan,L.A. Pro Sports Fan,The HOT 10-Minute Los Angeles Sports Report!,42,1 year,"In this video, you get a 10-minute update on Los Angeles sports news -- Lakers, Dodgers, Clippers, Kings, Chargers, Angels, ...",2026-01-22 07:22:00.113286
/watch?v=n50x0Qfn428&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@lagalaxy,LA Galaxy,LA Galaxy honor Los Angeles sports legend Izaak Torres for match Saturday | LATEST,1K,9 years,"Ahead of kickoff for Saturday's match, the Costa Mesa product will be honored at midfield in front of the crowd at StubHub Center ...",2026-01-22 07:22:00.114373
/watch?v=pqxoWUH3I-g&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@cronkitesportsla4248,Cronkite Sports LA,Cronkite News- Los Angeles Sports Bureau,130,7 years,"Take a look inside the Walter Cronkite School of Journalism and Mass Communication's premier professional program, the LA ...",2026-01-22 07:22:00.115573
/watch?v=ilEtZhCIAcE&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LAprosportsfan,L.A. Pro Sports Fan,The HOT 10-Minute Los Angeles Sports Report!,40,1 year,"In this video, you get a 10-minute update on Los Angeles sports news -- Lakers, Dodgers, Clippers, Kings, Chargers, Angels, ...",2026-01-22 07:22:00.116704
/watch?v=goiirl-VyLw&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LAprosportsfan,L.A. Pro Sports Fan,The HOT 10-Minute Los Angeles Sports Report!,43,1 year,"In this video, you get a 10-minute update on Los Angeles sports news -- Lakers, Dodgers, Clippers, Kings, Chargers, Angels, ...",2026-01-22 07:22:00.120005
/watch?v=i6t7MbanNFY&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@LASportsReel,Los Angeles Sports & Entertainment Commission,NFL 101 | Los Angeles Sports & Entertainment Commission,1.2K,15 years,"NFL 101 is an event to be enjoyed by both families and sports enthusiasts alike. There are quarterback competitions, raffles, ...",2026-01-22 07:22:00.121122
/watch?v=8whF2Ar4kOI&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz0gcJCYcKAYcqIYzv,/@LAFBNetwork,LAFB Network,Who Is The Face Of Los Angeles Sports? Will A Los Angeles Rams Player Ever Take This Honor?,34,6 months,"We recently had a fun debate on the LAFB Network...who is the face of Los Angeles sports, and could it ever be a member of the ...",2026-01-22 07:22:00.122203
/watch?v=HQQBC9ZjBGE&pp=ygUSbG9zX2FuZ2VsZXNfc3BvcnRz,/@sohsie,sohsie,New York Giants at Los Angeles Sports Bar on KCAL 9.wmv,545,13 years,http://www.giantsfansinla.com KCAL9 came to film the Los Angeles / Santa Monica New York Giants Fans Sports Bar Club at our ...,2026-01-22 07:22:00.123274
